"","TOWN11CD","TOWN11NM","POPULATION_2011","SIZE_FLAG","RGN11NM","COASTAL","COASTAL DETAILED","TTWA11CD","TTWA11NM","TTWA CLASSIFICATION","JOB DENSITY FLAG","INCOME FLAG","UNIVERSITY FLAG","Level4Qual_residents35-64_2011","KS4_2012-2013_counts","Key Stage 2 attainment_school year 2007 to 2008","Key Stage 4 attainment_school year 2012 to 2013","Level 2 at age 18","Level 3 at age 18","Activity at age 19: full-time higher education","Activity at age 19: sustained further education","Activity at age 19: appprenticeships","Activity at age 19: employment with earnings above £0","Activity at age 19: employment with earnings above £10,000","Activity at age 19: out-of-work","Highest level qualification achieved by age 22: less than level 1","Highest level qualification achieved by age 22: level 1 to level 2","Highest level qualification achieved by age 22: level 3 to level 5","Highest level qualification achieved by age 22: level 6 or above","Highest level qualification achieved b age 22: average score","Education Score"
"36","E34000353","St Leonards BUA",5984,"Small Towns","South West","Non-coastal","Smaller non-coastal town","E30000175","Bournemouth","Majority town and city (Large Towns)","Residential","Lower deprivation towns","No university","Medium",39,93.3333333333333,69.2307692307692,92.3076923076923,69.2307692307692,"51.282051282051277","*","*","53.846153846153847","*","*","*","*","43.2","*",4.15384615384615,6.610611497
"37","E34000360","Upton (Wakefield) BUA",5874,"Small Towns","Yorkshire and The Humber","Non-coastal","Smaller non-coastal town","E30000283","Wakefield and Castleford","Majority town and city (Large Towns)","Residential","Higher deprivation towns","No university","Low",85,73.2558139534884,75.2941176470588,94.1176470588235,41.1764705882353,"23.52941176470588","22.352941176470591","14.117647058823529","47.058823529411761","30.588235294117649","*","*","31.3","55.4","*",3.12941176470588,-0.513536679
"38","E34000363","Wincanton BUA",5435,"Small Towns","South West","Non-coastal","Smaller non-coastal town","E30000293","Yeovil","Majority rural","Working","Mid deprivation towns","No university","Low",63,66.6666666666667,36.5079365079365,76.1904761904762,33.3333333333333,"23.809523809523807","23.809523809523807","*","55.555555555555557","28.571428571428569","*","*","35.5","45.2","*",3.06349206349206,-6.01236232
"39","E34000387","Chinnor BUA",5473,"Small Towns","South East","Non-coastal","Smaller non-coastal town","E30000218","High Wycombe and Aylesbury","Majority town and city (Large Towns)","Residential","Lower deprivation towns","No university","Medium",74,80.2816901408451,44.5945945945946,79.7297297297297,54.0540540540541,"40.54054054054054","14.864864864864865","*","50","24.324324324324326","*","*","29.2","33.299999999999997","34.700000000000003",3.63513513513514,-0.164720472
"40","E34000396","Thurcroft BUA",5115,"Small Towns","Yorkshire and The Humber","Non-coastal","Smaller non-coastal town","E30000261","Sheffield","Majority conurbation","Residential","Higher deprivation towns","No university","Low",62,66.6666666666667,45.1612903225806,72.5806451612903,32.258064516129,"16.129032258064516","29.032258064516132","19.35483870967742","35.483870967741936","*","16.129032258064516","*","41.7","45","*",2.66129032258065,-6.371799113
"41","E34000403","Exmouth BUA",34432,"Medium Towns","South West","Coastal","Large seaside town","E30000206","Exeter","Majority town and city (Large Towns)","Residential","Mid deprivation towns","No university","Medium",389,67.3629242819843,51.6709511568123,83.8046272493573,42.9305912596401,"25.70694087403599","16.709511568123396","12.853470437017995","48.843187660668377","23.136246786632391","6.1696658097686372","*","38.200000000000003","39.5","20.7",3.15167095115681,-3.325032651
"42","E34000409","Bolton-le-Sands BUA",6995,"Small Towns","North West","Non-coastal","Smaller non-coastal town","E30000076","Lancaster and Morecambe","Majority town and city (small)","Residential","Lower deprivation towns","No university","Medium",70,84,82.8571428571429,97.1428571428571,65.7142857142857,"57.142857142857139","*","*","51.428571428571423","17.142857142857142","*","*","20","37.1","42.9",4.08571428571429,6.357287162
"43","E34000416","Crediton BUA",7835,"Small Towns","South West","Non-coastal","Smaller non-coastal town","E30000206","Exeter","Majority town and city (Large Towns)","Working","Mid deprivation towns","No university","Medium",94,72,58.5106382978723,84.0425531914894,43.6170212765958,"21.276595744680851","22.340425531914892","10.638297872340425","50","23.404255319148938","*","*","34","43.6","*",3.23404255319149,-1.812283999
"44","E34000430","Henley-on-Thames BUA",11494,"Small Towns","South East","Non-coastal","Smaller non-coastal town","E30000256","Reading","Majority town and city (Large Towns)","Working","Lower deprivation towns","No university","High",100,81,68,83,64,"50","*","*","50","24","*","*","17.8","44.6","34.700000000000003",3.72,3.362878498
"45","E34000440","Snodland BUA",10211,"Small Towns","South East","Non-coastal","Smaller non-coastal town","E30000242","Medway","Majority town and city (Large Towns)","Residential","Higher deprivation towns","No university","Low",125,85.4838709677419,54.4,79.2,39.2,"16","16","10.4","51.2","32.800000000000004","10.4","*","44.1","37.799999999999997","*",2.896,-1.970367969
"46","E34000458","Meltham BUA",7836,"Small Towns","Yorkshire and The Humber","Non-coastal","Smaller non-coastal town","E30000219","Huddersfield","Majority conurbation","Residential","Mid deprivation towns","No university","Medium",97,81.9047619047619,79.3814432989691,95.8762886597938,64.9484536082474,"51.546391752577314","18.556701030927837","16.494845360824741","48.453608247422679","20.618556701030926","*","*","*","48.5","41.2",4.12371134020619,5.804185058
"47","E34000469","Minehead BUA",11981,"Small Towns","South West","Coastal","Smaller seaside town","E30000095","Minehead","Majority rural","Working","Higher deprivation towns","No university","Low",111,64.8148148148148,48.6486486486487,88.2882882882883,45.945945945946,"27.027027027027028","26.126126126126124","10.810810810810811","50.450450450450447","23.423423423423422","*","*","31.3","41.1","26.8",3.44144144144144,-2.847094207
"48","E34000473","Daventry BUA",23879,"Medium Towns","East Midlands","Non-coastal","Large non-coastal town","E30000247","Northampton","Majority town and city (Large Towns)","Working","Mid deprivation towns","No university","Low",315,71.7791411042945,50.4761904761905,73.968253968254,37.4603174603175,"28.571428571428569","18.095238095238095","12.063492063492063","58.730158730158735","30.158730158730158","8.2539682539682531","3.2","35.4","37.700000000000003","23.7",3.19365079365079,-3.297142446
"49","E34000482","Keyworth BUA",6733,"Small Towns","East Midlands","Non-coastal","Smaller non-coastal town","E30000249","Nottingham","Majority conurbation","Residential","Lower deprivation towns","No university","Medium",71,90.4109589041096,70.4225352112676,94.3661971830986,63.3802816901408,"49.295774647887328","21.12676056338028","14.084507042253522","42.25352112676056","23.943661971830984","*","*","19.7","36.6","42.3",4.07042253521127,5.628841984
"50","E34000490","Deal BUA",30555,"Medium Towns","South East","Coastal","Large seaside town","E30000241","Margate and Ramsgate","Majority town and city (small)","Residential","Higher deprivation towns","No university","Low",350,68.4971098265896,46.5714285714286,78.8571428571429,45.1428571428571,"30","17.714285714285712","8.2857142857142847","40","20.571428571428569","10","3.1","35.200000000000003","36.1","25.6",3.28,-3.141037157
"51","E34000499","Hythe BUA",20201,"Medium Towns","South East","Non-coastal","Large non-coastal town","E30000267","Southampton","Majority town and city (Large Towns)","Residential","Lower deprivation towns","No university","Medium",233,75.2066115702479,55.3648068669528,78.9699570815451,42.4892703862661,"21.459227467811161","23.605150214592275","15.450643776824036","56.652360515021464","33.476394849785407","9.8712446351931327","*","30.9","47.6","19.3",3.18454935622318,-1.985380107
"52","E34000504","Ibstock BUA",5650,"Small Towns","East Midlands","Non-coastal","Smaller non-coastal town","E30000230","Leicester","Majority town and city (Large Towns)","Residential","Mid deprivation towns","No university","Low",89,58.695652173913,51.685393258427,86.5168539325843,49.438202247191,"33.707865168539328","23.595505617977526","15.730337078651685","57.303370786516851","35.955056179775283","*","*","28.6","41.8","27.5",3.46067415730337,-2.899667069
"53","E34000508","Market Deeping BUA",13574,"Small Towns","East Midlands","Non-coastal","Smaller non-coastal town","E30000108","Peterborough","Majority town and city (Large Towns)","Residential","Lower deprivation towns","No university","Medium",186,80.4597701149425,67.2043010752688,86.5591397849462,64.5161290322581,"40.322580645161288","22.58064516129032","13.978494623655912","55.376344086021504","27.419354838709676","*","*","18.7","44.9","34.799999999999997",3.80645161290323,3.507476118
"54","E34000509","Horncastle BUA",6815,"Small Towns","East Midlands","Non-coastal","Smaller non-coastal town","E30000264","Skegness and Louth","Majority town and city (small)","Working","Higher deprivation towns","No university","Low",73,84.7222222222222,65.7534246575342,82.1917808219178,54.7945205479452,"41.095890410958901","17.80821917808219","*","49.315068493150683","23.287671232876711","*","*","25.7","33.799999999999997","40.5",3.95890410958904,3.418697624
"55","E34000521","Glastonbury BUA",8471,"Small Towns","South West","Non-coastal","Smaller non-coastal town","E30000274","Street and Wells","Majority rural","Working","Higher deprivation towns","No university","Medium",89,71.264367816092,60.6741573033708,83.1460674157303,51.685393258427,"28.08988764044944","16.853932584269664","12.359550561797752","42.696629213483142","14.606741573033707","*","*","22.5","53.9","*",3.38202247191011,-0.550202426
"56","E34000527","Witham BUA",25353,"Medium Towns","East of England","Non-coastal","Large non-coastal town","E30000188","Chelmsford","Majority town and city (Large Towns)","Working","Higher deprivation towns","No university","Low",270,65.2777777777778,56.6666666666667,82.2222222222222,37.037037037037,"20.37037037037037","16.296296296296298","10.74074074074074","54.444444444444443","34.074074074074076","11.851851851851853","*","46.3","36.200000000000003","16.8",3.03703703703704,-3.92266164
"57","E34000550","Holmes Chapel BUA",5605,"Small Towns","North West","Non-coastal","Smaller non-coastal town","E30000197","Crewe","Majority town and city (small)","Mixed","Lower deprivation towns","No university","High",73,86.3013698630137,75.3424657534247,93.1506849315068,68.4931506849315,"47.945205479452049","20.547945205479451","19.17808219178082","50.684931506849317","24.657534246575342","*","*","*","42.7","46.7",4.27397260273973,6.657041755
"58","E34000553","Whaley Bridge BUA",5140,"Small Towns","East Midlands","Non-coastal","Smaller non-coastal town","E30000239","Manchester","Majority conurbation","Mixed","Lower deprivation towns","No university","Medium",67,70.3125,70.1492537313433,91.044776119403,68.6567164179104,"52.238805970149251","*","*","46.268656716417908","23.880597014925371","*","*","*","50.8","38.5",4.1044776119403,3.806320645
"59","E34000567","Gerrards Cross BUA",20633,"Medium Towns","South East","Non-coastal","Large non-coastal town","E30000218","High Wycombe and Aylesbury","Majority town and city (Large Towns)","Working","Lower deprivation towns","No university","High",246,88.265306122449,85.3658536585366,96.734693877551,80,"71.138211382113823","7.7235772357723578","4.4715447154471546","36.585365853658537","10.569105691056912","*","*","6.5","32.5","58.9",4.65040650406504,9.95812099
"60","E34000573","Ulverston BUA",11356,"Small Towns","North West","Non-coastal","Smaller non-coastal town","E30000163","Barrow-in-Furness","Majority town and city (small)","Working","Lower deprivation towns","No university","Medium",117,82.258064516129,58.974358974359,81.1965811965812,52.1367521367521,"21.367521367521366","40.17094017094017","23.076923076923077","47.863247863247864","23.931623931623932","10.256410256410255","*","24.1","56.9","*",3.23076923076923,0.193445297
"61","E34000574","Chapeltown BUA",23056,"Medium Towns","Yorkshire and The Humber","Non-coastal","Large non-coastal town","E30000261","Sheffield","Majority conurbation","Mixed","Mid deprivation towns","No university","Low",269,73.7037037037037,70.2602230483271,84.3866171003718,50.9293680297398,"29.739776951672862","27.509293680297397","18.587360594795538","60.223048327137555","29.368029739776951","10.037174721189592","*","20.2","52.4","26.2",3.59851301115242,1.220084116
"62","E34000589","Hornsea BUA",8432,"Small Towns","Yorkshire and The Humber","Coastal","Smaller seaside town","E30000220","Hull","Majority town and city (Large Towns)","Residential","Higher deprivation towns","No university","Medium",98,81.1881188118812,68.3673469387755,81.6326530612245,53.0612244897959,"30.612244897959183","23.469387755102041","15.306122448979592","46.938775510204081","18.367346938775512","*","*","31.3","43.4","25.3",3.40816326530612,1.573747159
"63","E34000591","Wem BUA",5870,"Small Towns","West Midlands","Non-coastal","Smaller non-coastal town","E30000262","Shrewsbury","Majority town and city (Large Towns)","Residential","Mid deprivation towns","No university","Low",70,82.3529411764706,64.2857142857143,87.1428571428571,57.1428571428571,"35.714285714285715","20","*","44.285714285714285","17.142857142857142","*","*","18.600000000000001","50","*",3.57142857142857,2.12673052
"64","E34000597","Loughborough BUA",59932,"Medium Towns","East Midlands","Non-coastal","Large non-coastal town","E30000230","Leicester","Majority town and city (Large Towns)","Working","Mid deprivation towns","University","Medium",497,72.8301886792453,50.7042253521127,79.476861167002,43.4607645875252,"36.217303822937623","19.919517102615693","11.87122736418511","48.490945674044269","22.736418511066397","6.6398390342052318","3.4","29.9","36.700000000000003","30.1",3.46680080482897,-1.853352661
"65","E34000628","Maghull BUA",26997,"Medium Towns","North West","Non-coastal","Large non-coastal town","E30000233","Liverpool","Majority conurbation","Residential","Lower deprivation towns","No university","Medium",304,84.1584158415842,69.0789473684211,88.8157894736842,53.9473684210526,"47.69736842105263","23.355263157894736","14.802631578947366","58.55263157894737","18.092105263157894","5.2631578947368416","*","18.3","42.2","39.200000000000003",4.00986842105263,3.747497559
"66","E34000633","Southport BUA",91703,"Large Towns","North West","Coastal","Large seaside town","E30000233","Liverpool","Majority conurbation","Mixed","Higher deprivation towns","No university","Medium",1005,78.9526686807654,63.9800995024876,87.1641791044776,58.0099502487562,"42.786069651741293","17.611940298507463","9.8507462686567173","45.771144278606968","14.527363184079602","7.2636815920398012","1.9","18.100000000000001","46.6","33.4",3.76716417910448,2.319207046
"67","E34000645","Thornbury BUA",11687,"Small Towns","South West","Non-coastal","Smaller non-coastal town","E30000180","Bristol","Majority town and city (Large Towns)","Mixed","Lower deprivation towns","No university","Medium",160,82.1656050955414,66.25,84.375,60.625,"46.875","18.75","15","60","26.875","*","*","21.7","40.4","37.299999999999997",3.81875,3.299333602
